id,lang,keyword,cluster,subcluster,intent,priority,target_url,target_scope,status,funnel_stage,business_value,gsc_impressions,gsc_clicks,gsc_ctr,gsc_avg_position,country,device,last_checked,notes
kw-001,uk,aerocool,brand,core brand,navigation,P0,/,single_url,current,navigation,high,,,,,,,,"Главный брендовый запрос, покрыт всеми ключевыми страницами."
kw-002,uk,aerocool ukraine,brand,country modifier,navigation,P0,/,single_url,current,navigation,high,,,,,,,,Англоязычный бренд + страна; полезен для брендовой навигации.
kw-003,uk,aerocool україна,brand,country modifier,navigation,P0,/,single_url,current,navigation,high,,,,,,,,Локальный брендовый запрос под официальный сайт в Украине.
kw-004,uk,офіційний сайт aerocool,brand,official site,navigation,P0,/,single_url,current,navigation,high,,,,,,,,"Усилять через главную, About и Organization/schema, без чрезмерных обещаний."
kw-005,uk,крісла aerocool,brand,chairs brand,commercial,P0,/,single_url,current,consideration,high,,,,,,,,Базовая брендовая категория.
kw-006,uk,ігрові крісла aerocool,brand,gaming brand,commercial,P0,/products/,single_url,current,consideration,high,,,,,,,,Держать связку home -> catalog -> WING/XTAL.
kw-007,uk,офісні крісла aerocool,brand,office brand,commercial,P0,/products/,single_url,current,consideration,high,,,,,,,,Держать связку home -> catalog -> SKY/Loft Air/Mesh.
kw-008,uk,комп'ютерні крісла aerocool,brand,computer brand,commercial,P0,/products/,single_url,current,consideration,high,,,,,,,,Широкий брендовый commercial cluster.
kw-009,uk,ергономічні крісла aerocool,brand,ergonomic brand,commercial investigation,P1,/about/,single_url,current,consideration,medium,,,,,,,,"Поддерживать через About, каталог и статьи."
kw-010,uk,каталог крісел aerocool,brand,catalog,commercial,P0,/products/,single_url,current,consideration,high,,,,,,,,Основной каталоговый запрос.
kw-011,ru,aerocool,brand,core brand,navigation,P0,/ru/,single_url,current,navigation,high,,,,,,,,"Главный брендовый запрос, покрыт всеми ключевыми страницами."
kw-012,ru,aerocool ukraine,brand,country modifier,navigation,P0,/ru/,single_url,current,navigation,high,,,,,,,,Англоязычный бренд + страна; полезен для брендовой навигации.
kw-013,ru,aerocool украина,brand,country modifier,navigation,P0,/ru/,single_url,current,navigation,high,,,,,,,,Локальный брендовый запрос под официальный сайт в Украине.
kw-014,ru,официальный сайт aerocool,brand,official site,navigation,P0,/ru/,single_url,current,navigation,high,,,,,,,,"Усилять через главную, About и Organization/schema, без чрезмерных обещаний."
kw-015,ru,кресла aerocool,brand,chairs brand,commercial,P0,/ru/,single_url,current,consideration,high,,,,,,,,Базовая брендовая категория.
kw-016,ru,игровые кресла aerocool,brand,gaming brand,commercial,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Держать связку home -> catalog -> WING/XTAL.
kw-017,ru,офисные кресла aerocool,brand,office brand,commercial,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Держать связку home -> catalog -> SKY/Loft Air/Mesh.
kw-018,ru,компьютерные кресла aerocool,brand,computer brand,commercial,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Широкий брендовый commercial cluster.
kw-019,ru,эргономичные кресла aerocool,brand,ergonomic brand,commercial investigation,P1,/ru/about/,single_url,current,consideration,medium,,,,,,,,"Поддерживать через About, каталог и статьи."
kw-020,ru,каталог кресел aerocool,brand,catalog,commercial,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Основной каталоговый запрос.
kw-021,uk,ігрове крісло,commercial category,gaming chair,commercial investigation,P0,/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-022,ru,игровое кресло,commercial category,gaming chair,commercial investigation,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-023,uk,ігрові крісла,commercial category,gaming chairs,commercial investigation,P0,/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-024,ru,игровые кресла,commercial category,gaming chairs,commercial investigation,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-025,uk,офісне крісло,commercial category,office chair,commercial investigation,P0,/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-026,ru,офисное кресло,commercial category,office chair,commercial investigation,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-027,uk,офісні крісла,commercial category,office chairs,commercial investigation,P0,/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-028,ru,офисные кресла,commercial category,office chairs,commercial investigation,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-029,uk,комп'ютерне крісло,commercial category,computer chair,commercial investigation,P0,/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-030,ru,компьютерное кресло,commercial category,computer chair,commercial investigation,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-031,uk,комп'ютерні крісла,commercial category,computer chairs,commercial investigation,P0,/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-032,ru,компьютерные кресла,commercial category,computer chairs,commercial investigation,P0,/ru/products/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-033,uk,ергономічне крісло,commercial category,ergonomic chair,commercial investigation,P0,/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-034,ru,эргономичное кресло,commercial category,ergonomic chair,commercial investigation,P0,/ru/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-035,uk,ергономічні крісла,commercial category,ergonomic chairs,commercial investigation,P1,/products/,single_url,current,consideration,medium,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-036,ru,эргономичные кресла,commercial category,ergonomic chairs,commercial investigation,P1,/ru/products/,single_url,current,consideration,medium,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-037,uk,крісло для роботи,commercial category,work chair,commercial investigation,P0,/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-038,ru,кресло для работы,commercial category,work chair,commercial investigation,P0,/ru/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-039,uk,крісло для роботи за комп'ютером,commercial category,computer work chair,commercial investigation,P1,/articles/chair-for-computer-work/,single_url,current,consideration,medium,,,,,,,,Безбрендовый спрос; локальный draft уже выделяет отдельную посадочную под полный рабочий день.
kw-040,ru,кресло для работы за компьютером,commercial category,computer work chair,commercial investigation,P1,/ru/articles/chair-for-computer-work/,single_url,current,consideration,medium,,,,,,,,Безбрендовый спрос; локальный draft уже выделяет отдельную посадочную под полный рабочий день.
kw-041,uk,крісло для home office,commercial category,home office chair,commercial investigation,P0,/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-042,ru,кресло для home office,commercial category,home office chair,commercial investigation,P0,/ru/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,high,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-043,uk,крісло для геймінгу,commercial category,gaming use,commercial investigation,P1,/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,medium,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-044,ru,кресло для гейминга,commercial category,gaming use,commercial investigation,P1,/ru/articles/how-to-choose-aerocool-chair/,single_url,current,consideration,medium,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-045,uk,крісло для тривалої роботи,commercial category,long work,commercial investigation,P1,/articles/chair-for-posture-and-long-work/,single_url,current,consideration,medium,,,,,,,,Основной запрос для статьи о длительной работе и посадке без медицинских обещаний.
kw-046,ru,кресло для долгой работы,commercial category,long work,commercial investigation,P1,/ru/articles/chair-for-posture-and-long-work/,single_url,current,consideration,medium,,,,,,,,Основной запрос для статьи о длительной работе и посадке без медицинских обещаний.
kw-047,uk,крісло для постави,commercial category,posture,commercial investigation,P1,/articles/chair-for-posture-and-long-work/,single_url,current,consideration,medium,,,,,,,,Основной короткий запрос страницы о посадке и длительной работе без медицинских обещаний.
kw-048,ru,кресло для осанки,commercial category,posture,commercial investigation,P1,/ru/articles/chair-for-posture-and-long-work/,single_url,current,consideration,medium,,,,,,,,Основной короткий запрос страницы о посадке и длительной работе без медицинских обещаний.
kw-049,uk,зручне крісло для дому,commercial category,home comfort,commercial investigation,P2,/products/sky/,single_url,growth,consideration,low,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-050,ru,удобное кресло для дома,commercial category,home comfort,commercial investigation,P2,/ru/products/sky/,single_url,growth,consideration,low,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-051,uk,крісло для навчання,commercial category,study chair,commercial investigation,P3,/products/sky/,single_url,growth,consideration,low,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-052,ru,кресло для учебы,commercial category,study chair,commercial investigation,P3,/ru/products/sky/,single_url,growth,consideration,low,,,,,,,,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-053,uk,aerocool sky,series,SKY,commercial investigation,P0,/products/sky/,single_url,current,consideration,high,,,,,,,,Entity home серии SKY.
kw-054,ru,aerocool sky,series,SKY,commercial investigation,P0,/ru/products/sky/,single_url,current,consideration,high,,,,,,,,Entity home серии SKY.
kw-055,uk,офісне крісло aerocool sky,series,SKY office,commercial,P0,/products/sky/,single_url,current,consideration,high,,,,,,,,Средний коммерческий интент серии.
kw-056,ru,офисное кресло aerocool sky,series,SKY office,commercial,P0,/ru/products/sky/,single_url,current,consideration,high,,,,,,,,Средний коммерческий интент серии.
kw-057,uk,комп'ютерне крісло aerocool sky,series,SKY computer,commercial,P0,/products/sky/,single_url,current,consideration,high,,,,,,,,Средний коммерческий интент серии.
kw-058,ru,компьютерное кресло aerocool sky,series,SKY computer,commercial,P0,/ru/products/sky/,single_url,current,consideration,high,,,,,,,,Средний коммерческий интент серии.
kw-059,uk,aerocool wing,series,WING,commercial investigation,P0,/products/wing/,single_url,current,consideration,high,,,,,,,,Entity home серии WING.
kw-060,ru,aerocool wing,series,WING,commercial investigation,P0,/ru/products/wing/,single_url,current,consideration,high,,,,,,,,Entity home серии WING.
kw-061,uk,ігрове крісло aerocool wing,series,WING gaming,commercial,P0,/products/wing/,single_url,current,consideration,high,,,,,,,,Главный commercial cluster серии WING.
kw-062,ru,игровое кресло aerocool wing,series,WING gaming,commercial,P0,/ru/products/wing/,single_url,current,consideration,high,,,,,,,,Главный commercial cluster серии WING.
kw-063,uk,офісне крісло aerocool wing,series,WING office,commercial,P1,/products/wing/,single_url,current,consideration,medium,,,,,,,,Поддерживающий сценарий WING для работы/home office.
kw-064,ru,офисное кресло aerocool wing,series,WING office,commercial,P1,/ru/products/wing/,single_url,current,consideration,medium,,,,,,,,Поддерживающий сценарий WING для работы/home office.
kw-065,uk,aerocool xtal,series,XTAL,commercial investigation,P0,/products/xtal/,single_url,current,consideration,high,,,,,,,,Entity home серии XTAL.
kw-066,ru,aerocool xtal,series,XTAL,commercial investigation,P0,/ru/products/xtal/,single_url,current,consideration,high,,,,,,,,Entity home серии XTAL.
kw-067,uk,ігрове крісло aerocool xtal,series,XTAL gaming,commercial,P0,/products/xtal/,single_url,current,consideration,high,,,,,,,,Главный gaming/computer cluster серии XTAL.
kw-068,ru,игровое кресло aerocool xtal,series,XTAL gaming,commercial,P0,/ru/products/xtal/,single_url,current,consideration,high,,,,,,,,Главный gaming/computer cluster серии XTAL.
kw-069,uk,комп'ютерне крісло aerocool xtal,series,XTAL computer,commercial,P0,/products/xtal/,single_url,current,consideration,high,,,,,,,,Средний commercial cluster серии XTAL.
kw-070,ru,компьютерное кресло aerocool xtal,series,XTAL computer,commercial,P0,/ru/products/xtal/,single_url,current,consideration,high,,,,,,,,Средний commercial cluster серии XTAL.
kw-071,any,aerocool sky light,product model,sky light,commercial,P1,/products/sky/light/ | /ru/products/sky/light/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-072,uk,купити aerocool sky light,product transaction,sky light,transactional,P0,/products/sky/light/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-073,ru,купить aerocool sky light,product transaction,sky light,transactional,P0,/ru/products/sky/light/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-074,uk,офісне крісло aerocool sky light,product type modifier,sky light,commercial,P1,/products/sky/light/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-075,ru,офисное кресло aerocool sky light,product type modifier,sky light,commercial,P1,/ru/products/sky/light/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-076,any,aerocool sky 360,product model,sky 360,commercial,P1,/products/sky/360/ | /ru/products/sky/360/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-077,uk,купити aerocool sky 360,product transaction,sky 360,transactional,P0,/products/sky/360/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-078,ru,купить aerocool sky 360,product transaction,sky 360,transactional,P0,/ru/products/sky/360/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-079,uk,комп'ютерне крісло aerocool sky 360,product type modifier,sky 360,commercial,P1,/products/sky/360/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-080,ru,компьютерное кресло aerocool sky 360,product type modifier,sky 360,commercial,P1,/ru/products/sky/360/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-081,any,aerocool wing racer black,product model,wing racer black,commercial,P1,/products/wing/racer-black/ | /ru/products/wing/racer-black/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-082,uk,купити aerocool wing racer black,product transaction,wing racer black,transactional,P0,/products/wing/racer-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-083,ru,купить aerocool wing racer black,product transaction,wing racer black,transactional,P0,/ru/products/wing/racer-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-084,uk,ігрове крісло aerocool wing racer black,product type modifier,wing racer black,commercial,P1,/products/wing/racer-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-085,ru,игровое кресло aerocool wing racer black,product type modifier,wing racer black,commercial,P1,/ru/products/wing/racer-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-086,any,aerocool wing racer dark grey,product model,wing racer dark grey,commercial,P1,/products/wing/racer-dark-grey/ | /ru/products/wing/racer-dark-grey/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-087,uk,купити aerocool wing racer dark grey,product transaction,wing racer dark grey,transactional,P0,/products/wing/racer-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-088,ru,купить aerocool wing racer dark grey,product transaction,wing racer dark grey,transactional,P0,/ru/products/wing/racer-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-089,uk,ігрове крісло aerocool wing racer dark grey,product type modifier,wing racer dark grey,commercial,P1,/products/wing/racer-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-090,ru,игровое кресло aerocool wing racer dark grey,product type modifier,wing racer dark grey,commercial,P1,/ru/products/wing/racer-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-091,any,aerocool wing loft air dark grey,product model,wing loft air dark grey,commercial,P1,/products/wing/loft-air-dark-grey/ | /ru/products/wing/loft-air-dark-grey/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-092,uk,купити aerocool wing loft air dark grey,product transaction,wing loft air dark grey,transactional,P0,/products/wing/loft-air-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-093,ru,купить aerocool wing loft air dark grey,product transaction,wing loft air dark grey,transactional,P0,/ru/products/wing/loft-air-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-094,uk,офісне крісло aerocool wing loft air dark grey,product type modifier,wing loft air dark grey,commercial,P1,/products/wing/loft-air-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-095,ru,офисное кресло aerocool wing loft air dark grey,product type modifier,wing loft air dark grey,commercial,P1,/ru/products/wing/loft-air-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-096,any,aerocool wing loft air light grey,product model,wing loft air light grey,commercial,P1,/products/wing/loft-air-light-grey/ | /ru/products/wing/loft-air-light-grey/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-097,uk,купити aerocool wing loft air light grey,product transaction,wing loft air light grey,transactional,P0,/products/wing/loft-air-light-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-098,ru,купить aerocool wing loft air light grey,product transaction,wing loft air light grey,transactional,P0,/ru/products/wing/loft-air-light-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-099,uk,офісне крісло aerocool wing loft air light grey,product type modifier,wing loft air light grey,commercial,P1,/products/wing/loft-air-light-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-100,ru,офисное кресло aerocool wing loft air light grey,product type modifier,wing loft air light grey,commercial,P1,/ru/products/wing/loft-air-light-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-101,any,aerocool wing mesh black,product model,wing mesh black,commercial,P1,/products/wing/mesh-black/ | /ru/products/wing/mesh-black/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-102,uk,купити aerocool wing mesh black,product transaction,wing mesh black,transactional,P0,/products/wing/mesh-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-103,ru,купить aerocool wing mesh black,product transaction,wing mesh black,transactional,P0,/ru/products/wing/mesh-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-104,uk,комп'ютерне крісло aerocool wing mesh black,product type modifier,wing mesh black,commercial,P1,/products/wing/mesh-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-105,ru,компьютерное кресло aerocool wing mesh black,product type modifier,wing mesh black,commercial,P1,/ru/products/wing/mesh-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-106,any,aerocool xtal racer black,product model,xtal racer black,commercial,P1,/products/xtal/racer-black/ | /ru/products/xtal/racer-black/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-107,uk,купити aerocool xtal racer black,product transaction,xtal racer black,transactional,P0,/products/xtal/racer-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-108,ru,купить aerocool xtal racer black,product transaction,xtal racer black,transactional,P0,/ru/products/xtal/racer-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-109,uk,ігрове крісло aerocool xtal racer black,product type modifier,xtal racer black,commercial,P1,/products/xtal/racer-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-110,ru,игровое кресло aerocool xtal racer black,product type modifier,xtal racer black,commercial,P1,/ru/products/xtal/racer-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-111,any,aerocool xtal racer dark grey,product model,xtal racer dark grey,commercial,P1,/products/xtal/racer-dark-grey/ | /ru/products/xtal/racer-dark-grey/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-112,uk,купити aerocool xtal racer dark grey,product transaction,xtal racer dark grey,transactional,P0,/products/xtal/racer-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-113,ru,купить aerocool xtal racer dark grey,product transaction,xtal racer dark grey,transactional,P0,/ru/products/xtal/racer-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-114,uk,ігрове крісло aerocool xtal racer dark grey,product type modifier,xtal racer dark grey,commercial,P1,/products/xtal/racer-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-115,ru,игровое кресло aerocool xtal racer dark grey,product type modifier,xtal racer dark grey,commercial,P1,/ru/products/xtal/racer-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-116,any,aerocool xtal loft air dark grey,product model,xtal loft air dark grey,commercial,P1,/products/xtal/loft-air-dark-grey/ | /ru/products/xtal/loft-air-dark-grey/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-117,uk,купити aerocool xtal loft air dark grey,product transaction,xtal loft air dark grey,transactional,P0,/products/xtal/loft-air-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-118,ru,купить aerocool xtal loft air dark grey,product transaction,xtal loft air dark grey,transactional,P0,/ru/products/xtal/loft-air-dark-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-119,uk,офісне крісло aerocool xtal loft air dark grey,product type modifier,xtal loft air dark grey,commercial,P1,/products/xtal/loft-air-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-120,ru,офисное кресло aerocool xtal loft air dark grey,product type modifier,xtal loft air dark grey,commercial,P1,/ru/products/xtal/loft-air-dark-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-121,any,aerocool xtal loft air light grey,product model,xtal loft air light grey,commercial,P1,/products/xtal/loft-air-light-grey/ | /ru/products/xtal/loft-air-light-grey/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-122,uk,купити aerocool xtal loft air light grey,product transaction,xtal loft air light grey,transactional,P0,/products/xtal/loft-air-light-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-123,ru,купить aerocool xtal loft air light grey,product transaction,xtal loft air light grey,transactional,P0,/ru/products/xtal/loft-air-light-grey/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-124,uk,офісне крісло aerocool xtal loft air light grey,product type modifier,xtal loft air light grey,commercial,P1,/products/xtal/loft-air-light-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-125,ru,офисное кресло aerocool xtal loft air light grey,product type modifier,xtal loft air light grey,commercial,P1,/ru/products/xtal/loft-air-light-grey/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-126,any,aerocool xtal mesh black,product model,xtal mesh black,commercial,P1,/products/xtal/mesh-black/ | /ru/products/xtal/mesh-black/,url_group,current,consideration,medium,,,,,,,,Модельный запрос; отслеживать отдельно от серии.
kw-127,uk,купити aerocool xtal mesh black,product transaction,xtal mesh black,transactional,P0,/products/xtal/mesh-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-128,ru,купить aerocool xtal mesh black,product transaction,xtal mesh black,transactional,P0,/ru/products/xtal/mesh-black/,single_url,current,purchase,high,,,,,,,,Транзакционный SKU-запрос; факты покупки должны совпадать с front matter.
kw-129,uk,комп'ютерне крісло aerocool xtal mesh black,product type modifier,xtal mesh black,commercial,P1,/products/xtal/mesh-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-130,ru,компьютерное кресло aerocool xtal mesh black,product type modifier,xtal mesh black,commercial,P1,/ru/products/xtal/mesh-black/,single_url,current,consideration,medium,,,,,,,,Основной типовой модификатор товарной страницы.
kw-131,any,racer,material,Racer,commercial investigation,P1,/articles/racer-vs-loft-air-vs-mesh/ | /ru/articles/racer-vs-loft-air-vs-mesh/,url_group,current,consideration,medium,,,,,,,,Формат поверхности; поддерживает WING и XTAL.
