entity_id,name,status,entity_class,schema_candidate,entity_home,owner,jsonld_ids,about_pages_count,about_pages,mentions_pages_count,mentions_pages,product_group_refs,product_group_pages,rendered_id_refs,rendered_node_defs,gsc_impressions,gsc_clicks,gsc_ctr,ai_citations,business_signal,notes
home-office,home office,confirmed,UseCase,DefinedTerm,/articles/how-to-choose-aerocool-chair/,,https://aerocool.ua/articles/how-to-choose-aerocool-chair/#home-office,28,content/articles/best-chair-for-home-office/index.md; content/articles/best-chair-for-home-office/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,52,content/_index.md; content/_index.ru.md; content/articles/_index.md; content/articles/_index.ru.md; content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/how-to-choose-aerocool-chair/index.md; content/articles/how-to-choose-aerocool-chair/index.ru.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md; content/articles/sky-lite-vs-sky-360-guide/index.md; content/articles/sky-lite-vs-sky-360-guide/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/articles/what-is-synchronous-tilt-guide/index.md; content/articles/what-is-synchronous-tilt-guide/index.ru.md; content/articles/wing-vs-xtal-comparison/index.md; content/articles/wing-vs-xtal-comparison/index.ru.md; content/faq/index.md; content/faq/index.ru.md; content/news/2026-04-15-aerocool-sky-series-launch/index.md; content/news/2026-04-15-aerocool-sky-series-launch/index.ru.md; content/news/2026-04-16-aerocool-wing-series-launch/index.md; content/news/2026-04-16-aerocool-wing-series-launch/index.ru.md; content/news/2026-04-18-aerocool-sky-360-launch/index.md; content/news/2026-04-18-aerocool-sky-360-launch/index.ru.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.ru.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.ru.md; content/news/2026-05-21-aerocool-chair-selection-guides-update/index.md; content/news/2026-05-21-aerocool-chair-selection-guides-update/index.ru.md; content/news/2026-05-21-aerocool-practical-chair-guides-update/index.md; content/news/2026-05-21-aerocool-practical-chair-guides-update/index.ru.md; content/products/_index.md; content/products/_index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md,0,,248,96,pending-production,pending-production,pending-production,pending-production,pending-production,ok
home-page,Homepage,confirmed,WebPage,WebPage,/,,https://aerocool.ua/#webpage,0,,0,,0,,7,7,pending-production,pending-production,pending-production,pending-production,pending-production,ok
hot-room,hot room,confirmed,UseCase,DefinedTerm,/articles/racer-vs-loft-air-vs-mesh/,,https://aerocool.ua/articles/racer-vs-loft-air-vs-mesh/#hot-room,0,,6,content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md,0,,14,6,pending-production,pending-production,pending-production,pending-production,pending-production,ok
image-license-policy,Image usage rights,confirmed,Policy,Thing,/image-license/,Aerocool Ukraine + Global Aerocool,https://aerocool.ua/image-license/#image-license-policy,2,content/image-license/index.md; content/image-license/index.ru.md,0,,0,,4,2,pending-production,pending-production,pending-production,pending-production,pending-production,ok
leatherette-material,Leatherette,confirmed,Material,DefinedTerm,/articles/racer-vs-loft-air-vs-mesh/,,https://aerocool.ua/articles/racer-vs-loft-air-vs-mesh/#leatherette-material,0,,10,content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,22,10,pending-production,pending-production,pending-production,pending-production,pending-production,ok
loft-air-material,Loft Air,confirmed,Material,DefinedTerm,/articles/racer-vs-loft-air-vs-mesh/,,https://aerocool.ua/articles/racer-vs-loft-air-vs-mesh/#loft-air-material,4,content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.ru.md,42,content/articles/_index.md; content/articles/_index.ru.md; content/articles/best-chair-for-home-office/index.md; content/articles/best-chair-for-home-office/index.ru.md; content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/how-to-choose-aerocool-chair/index.md; content/articles/how-to-choose-aerocool-chair/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/articles/wing-vs-xtal-comparison/index.md; content/articles/wing-vs-xtal-comparison/index.ru.md; content/faq/index.md; content/faq/index.ru.md; content/news/2026-04-16-aerocool-wing-series-launch/index.md; content/news/2026-04-16-aerocool-wing-series-launch/index.ru.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md,0,,140,50,pending-production,pending-production,pending-production,pending-production,pending-production,ok
long-sitting,long sitting,confirmed,UseCase,DefinedTerm,/articles/chair-for-posture-and-long-work/,,https://aerocool.ua/articles/chair-for-posture-and-long-work/#long-sitting,4,content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md,4,content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md,0,,24,8,pending-production,pending-production,pending-production,pending-production,pending-production,ok
lumbar-support,Lumbar support,confirmed,Feature,DefinedTerm,/products/,,https://aerocool.ua/products/#lumbar-support,0,,30,content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,66,30,pending-production,pending-production,pending-production,pending-production,pending-production,ok
mesh-material,Mesh,confirmed,Material,DefinedTerm,/articles/racer-vs-loft-air-vs-mesh/,,https://aerocool.ua/articles/racer-vs-loft-air-vs-mesh/#mesh-material,4,content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.ru.md,44,content/articles/_index.md; content/articles/_index.ru.md; content/articles/best-chair-for-home-office/index.md; content/articles/best-chair-for-home-office/index.ru.md; content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/how-to-choose-aerocool-chair/index.md; content/articles/how-to-choose-aerocool-chair/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/articles/wing-vs-xtal-comparison/index.md; content/articles/wing-vs-xtal-comparison/index.ru.md; content/faq/index.md; content/faq/index.ru.md; content/news/2026-04-16-aerocool-wing-series-launch/index.md; content/news/2026-04-16-aerocool-wing-series-launch/index.ru.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md,0,,146,52,pending-production,pending-production,pending-production,pending-production,pending-production,ok
news-collection,Aerocool news,confirmed,Collection,CollectionPage,/news/,,https://aerocool.ua/news/#collection,2,content/news/_index.md; content/news/_index.ru.md,0,,0,,12,2,pending-production,pending-production,pending-production,pending-production,pending-production,ok
office-chair,office chair,confirmed,UseCase,DefinedTerm,/products/,,https://aerocool.ua/products/#office-chair,30,content/articles/best-chair-for-home-office/index.md; content/articles/best-chair-for-home-office/index.ru.md; content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md,44,content/_index.md; content/_index.ru.md; content/articles/_index.md; content/articles/_index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/how-to-choose-aerocool-chair/index.md; content/articles/how-to-choose-aerocool-chair/index.ru.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md; content/articles/sky-lite-vs-sky-360-guide/index.md; content/articles/sky-lite-vs-sky-360-guide/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/articles/what-is-synchronous-tilt-guide/index.md; content/articles/what-is-synchronous-tilt-guide/index.ru.md; content/faq/index.md; content/faq/index.ru.md; content/news/2026-04-15-aerocool-sky-series-launch/index.md; content/news/2026-04-15-aerocool-sky-series-launch/index.ru.md; content/news/2026-04-16-aerocool-wing-series-launch/index.md; content/news/2026-04-16-aerocool-wing-series-launch/index.ru.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.ru.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.md; content/news/2026-04-20-aerocool-loft-air-and-mesh-focus/index.ru.md; content/news/2026-05-21-aerocool-chair-selection-guides-update/index.md; content/news/2026-05-21-aerocool-chair-selection-guides-update/index.ru.md; content/news/2026-05-21-aerocool-practical-chair-guides-update/index.md; content/news/2026-05-21-aerocool-practical-chair-guides-update/index.ru.md; content/products/_index.md; content/products/_index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,230,90,pending-production,pending-production,pending-production,pending-production,pending-production,ok
online-store,Online store,do-not-markup,BusinessModel,OnlineStore,,,,0,,0,,0,,0,0,pending-production,pending-production,pending-production,pending-production,pending-production,do-not-markup
payment-policy,Payment,confirmed,Policy,Thing,/faq/,Aerocool Ukraine,https://aerocool.ua/faq/#payment-policy,2,content/faq/index.md; content/faq/index.ru.md,26,content/contact/index.md; content/contact/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,56,28,pending-production,pending-production,pending-production,pending-production,pending-production,ok
price-validity-policy,Price validity,confirmed,Policy,Thing,/faq/,Aerocool Ukraine,https://aerocool.ua/faq/#price-validity-policy,2,content/faq/index.md; content/faq/index.ru.md,0,,0,,4,2,pending-production,pending-production,pending-production,pending-production,pending-production,ok
racer-material,Racer,confirmed,Material,DefinedTerm,/articles/racer-vs-loft-air-vs-mesh/,,https://aerocool.ua/articles/racer-vs-loft-air-vs-mesh/#racer-material,2,content/articles/racer-vs-loft-air-vs-mesh-materials/index.md; content/articles/racer-vs-loft-air-vs-mesh-materials/index.ru.md,42,content/articles/_index.md; content/articles/_index.ru.md; content/articles/best-chair-for-home-office/index.md; content/articles/best-chair-for-home-office/index.ru.md; content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/how-to-choose-aerocool-chair/index.md; content/articles/how-to-choose-aerocool-chair/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/articles/wing-vs-xtal-comparison/index.md; content/articles/wing-vs-xtal-comparison/index.ru.md; content/faq/index.md; content/faq/index.ru.md; content/news/2026-04-16-aerocool-wing-series-launch/index.md; content/news/2026-04-16-aerocool-wing-series-launch/index.ru.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,134,48,pending-production,pending-production,pending-production,pending-production,pending-production,ok
replaceable-elements,Replaceable elements,confirmed,Feature,DefinedTerm,/articles/what-is-fully-replaceable-design/,,https://aerocool.ua/articles/what-is-fully-replaceable-design/#replaceable-elements,2,content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md,4,content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md,0,,18,6,pending-production,pending-production,pending-production,pending-production,pending-production,ok
return-policy,Returns,confirmed,Policy,MerchantReturnPolicy,/faq/,Aerocool Ukraine,https://aerocool.ua/faq/#return-policy,2,content/faq/index.md; content/faq/index.ru.md,26,content/contact/index.md; content/contact/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,56,28,pending-production,pending-production,pending-production,pending-production,pending-production,ok
review-layer,Review layer,do-not-markup,Review,Review,,,,0,,0,,0,,0,0,pending-production,pending-production,pending-production,pending-production,pending-production,do-not-markup
sky-360,Aerocool SKY 360,confirmed,Product,Product,/products/sky/360/,,https://aerocool.ua/products/sky/360/#product,6,content/articles/sky-lite-vs-sky-360-guide/index.md; content/articles/sky-lite-vs-sky-360-guide/index.ru.md; content/news/2026-04-18-aerocool-sky-360-launch/index.md; content/news/2026-04-18-aerocool-sky-360-launch/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md,14,content/articles/how-to-choose-chair-by-adjustability/index.md; content/articles/how-to-choose-chair-by-adjustability/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/sync4-sync5-mechanism-guide/index.md; content/articles/sync4-sync5-mechanism-guide/index.ru.md; content/news/2026-04-15-aerocool-sky-series-launch/index.md; content/news/2026-04-15-aerocool-sky-series-launch/index.ru.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.ru.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md,0,,40,1,pending-production,pending-production,pending-production,pending-production,pending-production,ok
sky-lite,Aerocool SKY Lite,confirmed,Product,Product,/products/sky/lite/,,https://aerocool.ua/products/sky/lite/#product,6,content/articles/sky-lite-vs-sky-360-guide/index.md; content/articles/sky-lite-vs-sky-360-guide/index.ru.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md,14,content/articles/how-to-choose-chair-by-adjustability/index.md; content/articles/how-to-choose-chair-by-adjustability/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/sync4-sync5-mechanism-guide/index.md; content/articles/sync4-sync5-mechanism-guide/index.ru.md; content/news/2026-04-15-aerocool-sky-series-launch/index.md; content/news/2026-04-15-aerocool-sky-series-launch/index.ru.md; content/news/2026-04-18-aerocool-sky-360-launch/index.md; content/news/2026-04-18-aerocool-sky-360-launch/index.ru.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md,0,,40,1,pending-production,pending-production,pending-production,pending-production,pending-production,ok
